idx,transcript,true_keywords,num_true,best_true_rank,worst_true_rank,recall_at_1,recall_at_3,recall_at_6,recall_at_12,cb_pool_recall,prompt_recall,rescore_recall,cb_pool_size,prompt_size,rescore_size,top12_keywords,prompt_keywords,rescore_keywords
10,北京商报讯记者王晔君日前,王晔君,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,王晔君|华商报讯|黄煜坤|金报讯|黄立坤|瓯文|彼得|王颖春|吴雯|北京站|董某|渝武,王晔君|华商报讯,王晔君|华商报讯|黄煜坤|金报讯|彼得
11,北京商报讯记者王晔君日前,王晔君,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,王晔君|华商报讯|金报讯|黄煜坤|黄立坤|瓯文|彼得|吴雯|王颖春|北京站|董某|渝武,王晔君|华商报讯,王晔君|华商报讯|金报讯|黄煜坤|彼得
12,美国东卡罗莱纳大学和维克森林大学的研究者认为,维克森林大学,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,维克森林大学|吴雯|斯利|瓯文|科林|哈立|彼得|波斯|董某|平阳|吉娜|哈灵,维克森林大学,维克森林大学|吴雯|瓯文|波斯
13,影片将在二零一五年一月在慕尼黑正式开机,慕尼黑,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,慕尼黑|张驰|郑女士|渝武|董某|邬迪|彼得|瓯文|吴雯|朱某|平阳|玮甯,慕尼黑,慕尼黑|张驰|渝武|董某
14,好莱坞当红明星之前曾被盛传将扮演斯诺登,好莱坞,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,好莱坞|吴雯|罗宾|敦煌|马来|贩婴|董某|渭镇|朱某|瓯文|彼得|渝武,好莱坞,好莱坞|吴雯|罗宾|敦煌|贩婴
15,好莱坞当红明星之前曾被盛传将扮演斯诺登,好莱坞,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,好莱坞|吴雯|彼得|贩婴|瓯文|敦煌|渝武|马来|董某|黄榕|朱某|赵宏,好莱坞,好莱坞|吴雯|贩婴|敦煌
16,对于姊弟恋也不排斥,姊弟恋,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,姊弟恋|吴雯|彼得|瓯文|渝武|斯利|玮甯|温岭|喻莉|平阳|黄榕|董某,姊弟恋,姊弟恋|瓯文|斯利|温岭
17,许玮甯最近到法国工作,玮甯|许玮甯,2,1,3,0.5,1.0,1.0,1.0,1.0,0.5,1.0,5,2,5,许玮甯|威灵|玮甯|卫张宁|吴雯|瑞银|德国|彼得|平阳|李伟豪|渝武|瓯文,许玮甯|威灵,许玮甯|威灵|玮甯|卫张宁|德国
18,阮经天和许玮甯交往八年屡传婚讯,玮甯|许玮甯,2,1,10,0.5,0.5,0.5,1.0,0.5,0.5,0.5,4,1,4,许玮甯|威灵|瓯文|哈灵|刘玮|吴雯|渝武|董某|彼得|玮甯|罗宾|卫张宁,许玮甯,许玮甯|威灵|哈灵|罗宾
19,但小天坚持玮甯依然是我的女人,玮甯,1,2,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4,1,4,威灵|玮甯|卫张宁|彼得|吴雯|温岭|瓯文|瑞银|佟健|董某|渝武|许玮甯,威灵,威灵|玮甯|卫张宁|渭镇
20,对许玮甯单身说语气落寞表示我没有什么看法,玮甯|许玮甯,2,1,10,0.5,0.5,0.5,1.0,0.5,0.5,0.5,4,2,4,许玮甯|朱某|刘玮|吴雯|威灵|渝武|董某|卢加诺|彼得|玮甯|瓯文|黄榕,许玮甯|朱某,许玮甯|朱某|刘玮|威灵
21,因而痛斩情丝她除了拥有模特儿火辣身材,痛斩情丝,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,痛斩情丝|拓朗|杨扬|彼得|吴雯|瓯文|渝武|朱某|波斯|董某|平阳|玮甯,痛斩情丝,痛斩情丝|拓朗|朱某|波斯
22,按照国家邮政总局统一部署,国家邮政总局,1,3,3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4,1,4,赵伟国|吴雯|国家邮政总局|渝武|彼得|瓯文|邬雄|董某|宋芳|平阳|松本|玮甯,赵伟国,赵伟国|吴雯|国家邮政总局|朱某
23,京华时报讯记者任珊记者从北京市教育考试院获悉,任珊,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,任珊|吴雯|瓯文|胡琦|彼得|波斯|广西|奇冰|董某|信息时报讯|朱某|南沙,任珊,任珊|吴雯|瓯文|波斯|广西
24,朱圣祎爆王思聪女朋友被诉法官送达起诉书遇阻,朱圣祎,1,8,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,4,渝武|彼得|邬雄|瓯文|邓郁松|吴雯|董某|朱圣祎|波斯|奇冰|广安|平阳,渝武,渝武|彼得|董某|朱某
25,王思聪将朱圣祎诉至北京朝阳法院,朱圣祎|北京朝阳法院,2,1,5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,4,1,4,北京朝阳法院|杨扬|荆州|吴雯|朱圣祎|彼得|瓯文|董某|马云|渝武|许绍洋|卫张宁,北京朝阳法院,北京朝阳法院|杨扬|荆州|吴雯
26,新京报记者从首都国际机场公安分局相关人员处获悉,新京报,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,新京报|金报讯|吴雯|广安|瓯文|彼得|董某|平阳|京城|今久|吉娜|渝武,新京报,新京报|金报讯|吴雯|瓯文
27,这些房产全由宋芳自己打理,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|渝武|吴雯|彼得|胡枫|哈立|瓯文|董某|哈灵|名古屋|朱某|平阳,宋芳,宋芳|渝武|吴雯|朱某
28,宋芳最近却有点烦恼,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|吴雯|渝武|瓯文|彼得|黄榕|胡枫|朱某|董某|周峰|名古屋|吉娜,宋芳,宋芳|吴雯|渝武|朱某
29,宋芳对北京银行私人银行的财富顾问说,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|吴雯|瓯文|颜妮|杨扬|人民银行|瑞银|彼得|董某|平昌|渝武|故宫,宋芳,宋芳|吴雯|瓯文|人民银行
30,该信托出资购入宋芳的房产,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,宋芳|邦德|吴雯|彼得|胡枫|瓯文|渝武|朱某|董某|玛卡|平阳|玮甯,宋芳,宋芳|邦德|吴雯|胡枫|朱某
31,在了解宋芳的资产情况与需求之后,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,宋芳|邦德|胡枫|李洁|吴雯|渝武|董某|彼得|瓯文|黄榕|平阳|渝蓉,宋芳,宋芳|邦德|胡枫|李洁|朱某
32,宋芳本人为信托的发起人和委托人,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|松本|吴雯|彼得|瓯文|渝武|董某|联合社|胡枫|平阳|周峰|玮甯,宋芳,宋芳|松本|吴雯|联合社
33,之后由该信托对宋芳指定的房产发出购买要约,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|渝武|彼得|吴雯|瓯文|董某|胡枫|黄榕|平阳|朱某|广西|故宫,宋芳,宋芳|渝武|彼得|朱某
34,宋芳必须再掏出完全属于自己的资金,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|胡枫|权义|吴雯|瓯文|周峰|吉娜|彼得|渝武|董某|宾虚|平阳,宋芳,宋芳|胡枫|权义|朱某
35,在宋芳的资金信托购买其房产时,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|邦德|胡枫|吴雯|瓯文|钟欣|彼得|渝武|大兴|董某|金报讯|平阳,宋芳,宋芳|胡枫|吴雯|朱某
36,这是因为宋芳购买其房产,宋芳,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,宋芳|胡枫|彼得|吴雯|周峰|瓯文|渝武|杨锋|黄榕|董某|玮甯|玛卡,宋芳,宋芳|胡枫|彼得|朱某
37,今久整合营销集团迎来了它的生日,今久|今久整合营销集团,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,今久整合营销集团|今久|喻莉|吴雯|瓯文|彼得|董某|渝武|平阳|朱某|名古屋|宾虚,今久整合营销集团|今久,今久整合营销集团|今久|瓯文|董某|朱某
38,北京科技大学教授刘澄表示,刘澄|北京科技大学,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,4,2,4,北京科技大学|刘澄|吴雯|吉娜|彼得|瓯文|董某|渝武|黄榕|玮甯|平阳|李子成,北京科技大学|刘澄,北京科技大学|刘澄|瓯文|李子成
39,中国证券报随着欧美等国主权债务危机陆续爆发,中国证券报,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,中国证券报|吴雯|渝武|瓯文|董某|平阳|朱某|彼得|刘玮|玮甯|金报讯|信息时报讯,中国证券报,中国证券报|吴雯|渝武|董某
40,国家审计署还专门组织力量,审计署,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,审计署|温岭|吴雯|彼得|瓯文|渝武|董某|杨扬|张萌|平阳|广安|名古屋,审计署,审计署|温岭|吴雯|瓯文
41,审计署的审计结论表明,审计署,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,审计署|陕西|吴雯|李洁|彼得|瓯文|董某|黄榕|渝武|朱某|平阳|玮甯,审计署,审计署|吴雯|瓯文|董某
42,其在纳斯达克上市时的发行价为一六美元,纳斯达克,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,纳斯达克|吉娜|吴雯|李斯达|马云|渝武|彼得|瓯文|张驰|张诗欢|哈灵|董某,纳斯达克,纳斯达克|吉娜|渝武|张诗欢
43,这些中国游戏公司大多成长于中国市场,中国游戏公司,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,中国游戏公司|渝武|吴雯|瓯文|彼得|董某|今久|朱某|故宫|关锡友|钟欣|西安,中国游戏公司,中国游戏公司|渝武|吴雯|朱某
44,根据陈昊芝在二零一四年八月提供的数据,陈昊芝,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,陈昊芝|徐濠|马云|吴雯|瓯文|彼得|董某|渝武|黄榕|程张昊|徐永昊|平阳,陈昊芝,陈昊芝|徐濠|瓯文|朱某
45,中国游戏公司纷纷忙着退市,中国游戏公司,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,中国游戏公司|麦德公司|吴雯|胡枫|瓯文|彼得|渝武|董某|敦煌|斯利|黄榕|周峰,中国游戏公司,中国游戏公司|麦德公司|吴雯|胡枫
46,每日经济新闻记者杨建江南嘉捷六万,杨建江南嘉捷,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,2,7,杨建江南嘉捷|佟健|钟欣|董某|渝武|吴雯|重庆|彼得|陕西|瓯文|湛江|朱某,杨建江南嘉捷|佟健,杨建江南嘉捷|佟健|钟欣|董某|渝武|吴雯|重庆
47,每日经济新闻记者杨建江南嘉捷六万一千一百三十一三,杨建江南嘉捷,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,杨建江南嘉捷|佟健|渝武|钟欣|吴雯|湛江|董某|瓯文|彼得|刘玮|重庆|黄榕,杨建江南嘉捷,杨建江南嘉捷|佟健|湛江|董某
48,成飞集成百二十一九十,成飞,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,成飞|吴雯|王巍|上集镇|彼得|瓯文|董某|渝武|陈露|许胚|朱某|黄榕,成飞,成飞|吴雯|王巍|朱某
49,取得这一突破的领军人就包括轮椅英雄叶乔波,叶乔波,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,叶乔波|彼得|董某|吴雯|蓝莹|瑞银|黄榕|权义|宾虚|瓯文|渝武|朱某,叶乔波,叶乔波|彼得|瓯文|朱某
50,杨扬拿到了五百米和一千米两项短道速的金牌,杨扬,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,杨扬|杨锋|金坛|吉娜|平阳|吴雯|杨幼萍|渝武|彼得|黄榕|董某|许绍洋,杨扬,杨扬|杨锋|金坛|吉娜|银联
51,以及拥有陈露的女单项目,陈露,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,陈露|彼得|吴雯|李洁|瓯文|渝武|董某|马云|平阳|玮甯|洪永城|朱某,陈露,陈露|彼得|瓯文|朱某
52,二零一八年冬奥会的主办地韩国平昌是一个绝好的例子,平昌|韩国平昌,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,韩国平昌|平昌|徐濠|刘玮|彼得|吴雯|威灵|瓯文|渝武|黄榕|哈灵|董某,韩国平昌|平昌,韩国平昌|平昌|徐濠|瓯文|李子成
53,平昌曾经三次申办冬奥会,平昌,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,平昌|彼得|刘澄|刘玮|瓯文|吴雯|渝武|赵宏|董某|平阳|玮甯|朱某,平昌,平昌|彼得|瓯文|朱某
54,几乎帮助了平昌拿下二零一八年冬奥会的主办权,平昌,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,平昌|刘玮|吴雯|瓯文|彼得|韩国平昌|董某|渝武|朱某|西安|平阳|赵宏,平昌,平昌|刘玮|瓯文|朱某
55,刚与阮经天传出情变不久的许玮甯近日接拍恐怖片,玮甯|许玮甯,2,1,20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,1,5,许玮甯|刘玮|威灵|奇冰|陕西|吴雯|董某|富平|瓯文|彼得|广安|王巍,许玮甯,许玮甯|刘玮|威灵|奇冰|陕西
56,玩心大起的许绍洋与玩家一起比拼游戏,许绍洋,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,许绍洋|吉娜|彼得|吴雯|大兴|渝武|瓯文|董某|奇冰|黄榕|胡琦|杨扬,许绍洋,许绍洋|吉娜|大兴|朱某
57,金陵晚报八月十二日报道二零一四年,金陵晚报,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,金陵晚报|彼得|吴雯|龙湾|朱某|贵港|董某|渝武|谢依霖|温岭|瓯文|广安,金陵晚报,金陵晚报|彼得|龙湾|朱某
58,许茹芸与韩籍男友举行了婚礼,许茹芸|韩籍,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,9,3,9,许茹芸|韩籍|济南|渝蓉|富林愚|马云|吉娜|王晓宇|张春雨|渝武|董某|瑞银,许茹芸|韩籍|济南,许茹芸|韩籍|济南|渝蓉|富林愚|马云|吉娜|王晓宇|罗宾
59,许茹芸突然闪婚让当时的娱乐圈也惊起了一阵小波澜,许茹芸,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,4,许茹芸|拓朗|渭镇|渝蓉|科林|吴雯|叶乔波|彼得|喻莉|渝武|瓯文|朱某,许茹芸|拓朗|渭镇,许茹芸|拓朗|渭镇|渝蓉
60,在许茹芸看来,许茹芸,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,4,许茹芸|渝蓉|马来|朱某|渝武|瓯文|彼得|吴雯|董某|孔磊|瑞银|王晓宇,许茹芸|渝蓉,许茹芸|渝蓉|朱某|彼得
61,日前因为广东省高院作出的无罪判决,广东|广东省,2,1,7,0.5,0.5,0.5,1.0,0.5,0.5,0.5,4,1,4,广东|吴雯|瓯文|渝武|彼得|广西|广东省|董某|黄榕|故宫|邬迪|朱某,广东,广东|吴雯|瓯文|广西
62,陈传钧从东莞市第二看守所出来,陈传钧,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,陈传钧|广安|陈晟|吴雯|彼得|渝武|董某|重庆|瓯文|平阳|广西|朱某,陈传钧,陈传钧|广安|吴雯|渝武|重庆
63,他向广东省高院申诉,广东|广东省,2,1,2,0.5,1.0,1.0,1.0,1.0,0.5,1.0,4,1,4,广东|广东省|吴雯|瓯文|彼得|渝武|董某|朱某|广西|广安|甘肃|玮甯,广东,广东|广东省|吴雯|瓯文
64,广东高院审理后驳回了关某的申诉,广东,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,广东|吴雯|瓯文|广东省|董某|彼得|广西|渝武|广安|平阳|黄榕|朱某,广东,广东|吴雯|瓯文|广东省
65,京华时报记者蒲东峰摄二零零七年,蒲东峰,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,蒲东峰|哈灵|张林|胡枫|周峰|瓯文|吴雯|蚌飞市|威灵|谢依霖|杨锋|彼得,蒲东峰|哈灵,蒲东峰|哈灵|张林|周峰|张诗欢
66,视频截图新京报快讯记者杨锋昨日,杨锋|新京报,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,4,2,4,新京报|杨锋|金报讯|吴雯|彼得|成飞|瓯文|荆州|金陵晚报|杨扬|董某|王巍,新京报|杨锋,新京报|杨锋|金报讯|吴雯
67,李斯达表示自己跟周云露并没有深仇大恨,李斯达,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,李斯达|李氏|彼得|大韩|张林|徐云丽|渝武|吴雯|温岭|喻莉|董某|斯利,李斯达,李斯达|李氏|大韩|徐云丽|渝武
68,目前李斯达被关押在朝阳区看守所,李斯达,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1,6,李斯达|彼得|斯利|李氏|皮特|李洁|广安|渝武|吴雯|董某|瓯文|朱某,李斯达,李斯达|彼得|斯利|李氏|广安|渝武
69,李斯达手持尖刀的自拍照,李斯达,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,李斯达|李氏|彼得|吴雯|斯利|瓯文|渝武|董某|皮特|黄榕|平阳|玮甯,李斯达,李斯达|李氏|斯利|瓯文|董某
70,新京报快讯记者杨锋凌晨今日下午,杨锋|新京报,2,1,2,0.5,1.0,1.0,1.0,1.0,0.5,1.0,4,1,4,新京报|杨锋|吴雯|赵书伶|金报讯|彼得|金陵晚报|董某|瓯文|威灵|成飞|张贵林,新京报,新京报|杨锋|吴雯|金报讯
71,在朝阳区百子湾阳光嘉园小区遇害,百子湾阳光嘉园,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,百子湾阳光嘉园|彼得|渝武|吴雯|黄榕|董某|杨扬|瓯文|平阳|朱某|徐濠|赵宏,百子湾阳光嘉园,百子湾阳光嘉园|彼得|黄榕|朱某
72,四川广安一一岁女孩的失踪,广安,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,广安|权义|吴雯|瓯文|彼得|斯利|广东|董某|渝武|谢依霖|朱某|朱圣祎,广安,广安|权义|瓯文|斯利
73,凶手在郫县安靖镇被抓,安靖镇,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,安靖镇|彼得|诏安县|邬雄|吴雯|韩籍|瓯文|渝武|董某|北仑站|曹志|平阳,安靖镇,安靖镇|彼得|诏安县|渭镇
74,应邀参加第二届天府古镇艺术节,天府古镇,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,天府古镇|吴雯|瓯文|彼得|渝武|瑞银|董某|平阳|玮甯|温岭|朱某|黄榕,天府古镇,天府古镇|吴雯|瓯文|瑞银
75,李嘉诚军师抛售马云一五亿买香港最贵单价豪宅,马云|李嘉诚,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,6,3,6,李嘉诚|马云|李家|渝武|吴雯|哈灵|董某|彼得|陈传钧|朱某|权义|平阳,李嘉诚|马云|李家,李嘉诚|马云|李家|渝武|吴雯|朱某
76,今久整合营销集团就是如此,今久|今久整合营销集团,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,今久整合营销集团|今久|吴雯|彼得|瓯文|许茹芸|黄榕|董某|渝武|名古屋|韦集村|金坛,今久整合营销集团|今久,今久整合营销集团|今久|瓯文|许茹芸|朱某
77,今久必须担当起引领时代潮流的重任,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|银联|吴雯|彼得|渝武|瓯文|董某|温岭|朱某|奇冰|平阳|胡琦,今久,今久|银联|渝武|董某
78,蓝色光标以几亿人民币收购今久,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|广安|瓯文|彼得|吴雯|罗宾|董某|渝武|平阳|韩籍|黄榕|修哥,今久,今久|广安|瓯文|罗宾
79,这成为今久转型的起点,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|吉娜|瓯文|吴雯|彼得|渝武|董某|陕西|今久整合营销集团|陈定|刘澄|胡琦,今久,今久|瓯文|董某|陕西
80,今久率先提出整合营销的概念,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|今久整合营销集团|彼得|吴雯|瓯文|董某|渝武|宾虚|吴显亭|平昌|朱某|温岭,今久,今久|瓯文|董某|朱某
81,今久正是在蓝色光标的技术支持下,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|彼得|审计署|广安|吴雯|瓯文|董某|渝武|黄榕|朱某|故宫|平阳,今久,今久|审计署|广安|瓯文
82,今久在大举创新的同时,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|彼得|吴雯|吉娜|瓯文|渝武|大禹村|董某|李氏|重庆|平阳|玮甯,今久,今久|瓯文|董某|重庆
83,今久上海分公司又悄无声息地开张了,今久|今久上海分公司,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,今久上海分公司|今久|渝武|彼得|瓯文|吴雯|董某|关锡友|黄榕|吉娜|玮甯|平阳,今久上海分公司|今久,今久上海分公司|今久|渝武|董某|朱某
84,今久又出高价,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|吴雯|瓯文|彼得|渝武|今久整合营销集团|董某|李家|朱某|黄榕|吉娜|平阳,今久,今久|瓯文|董某|朱某
85,收购了房地产互联网营销公司沈阳新维一半股份,沈阳新维一半股份,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,沈阳新维一半股份|广西|陕西|王颖春|吴雯|董某|西安|许绍洋|瓯文|彼得|故宫|钟欣,沈阳新维一半股份,沈阳新维一半股份|广西|王颖春|吴雯
86,今久又一次利用资本市场,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|彼得|吴雯|瓯文|渝武|董某|安良百货商场|温岭|黄榕|玮甯|平阳|名古屋,今久,今久|瓯文|董某|安良百货商场
87,今久成功实现了转型,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|陕西|吴雯|瓯文|彼得|渝武|董某|朱某|吉娜|陈晟|黄榕|济南,今久,今久|陕西|瓯文|董某
88,后今久时代正式到来,今久,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,今久|吴雯|瓯文|彼得|渝武|黄榕|渭镇|董某|玮甯|名古屋|朱某|奇冰,今久,今久|瓯文|黄榕|渭镇
89,转型后的今久整合营销集团,今久|今久整合营销集团,2,1,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,今久整合营销集团|今久|陕西|吴雯|瓯文|彼得|董某|渝武|宾虚|平阳|广西|玮甯,今久整合营销集团|今久,今久整合营销集团|今久|陕西|瓯文|董某
90,人民银行多次提高存款准备金率和存贷款基准利率,人民银行,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,人民银行|吴雯|喻莉|瓯文|彼得|董某|黎胜明|罗宾|黄榕|温岭|渝武|平阳,人民银行,人民银行|吴雯|瓯文|董某
